agent_id,age,gender,education_level,years_experience,industry,employment_status,ai_usage_frequency,trust_in_ai_tools,perceived_fairness_of_ai_hiring,confidence_in_getting_interview,connection_size
A027,23,Male,Bachelor's,2,Finance,Already employed,Often,3,2,5,18
A028,18,Male,Bachelor's (in progress),0,Healthcare,Actively applying,Very often,5,4,2,20
A029,23,Male,Bachelor's,2,Finance,Passively looking,Sometimes,3,2,3,3
A030,23,Female,Bachelor's,1,Marketing,Already employed,Sometimes,3,3,4,12
A031,21,Female,Bachelor's (in progress),1,Healthcare,Actively applying,Often,3,3,2,20
A032,21,Female,Bachelor's (in progress),1,Consulting,Passively looking,Very often,4,3,4,20
A033,23,Male,Bachelor's (in progress),1,Tech,Already employed,Sometimes,2,1,5,7
A034,24,Male,Bachelor's,2,Tech,Passively looking,Very often,4,3,4,7
A035,23,Nonbinary,Bachelor's,2,Tech,Actively applying,Often,4,3,4,12
A036,19,Female,Bachelor's (in progress),0,Finance,Already employed,Often,3,3,4,15
A037,23,Female,Bachelor's,1,Healthcare,Already employed,Very often,5,5,4,12
A038,21,Female,Bachelor's (in progress),0,Education,Passively looking,Very often,5,4,3,15
A039,18,Female,Bachelor's (in progress),0,Consulting,Actively applying,Very often,5,4,4,20
A040,23,Male,Bachelor's (in progress),2,Education,Actively applying,Sometimes,2,1,3,12
A041,21,Female,Bachelor's (in progress),1,Consulting,Actively applying,Rarely,1,1,3,15
A042,24,Male,Bachelor's (in progress),1,Marketing,Passively looking,Often,3,3,4,3
A043,24,Female,Bachelor's,1,Tech,Passively looking,Sometimes,3,2,3,12
A044,22,Male,Bachelor's (in progress),0,Marketing,Already employed,Often,4,3,5,20
A045,24,Male,Bachelor's,1,Tech,Actively applying,Often,3,2,4,3
A046,20,Male,Bachelor's (in progress),0,Consulting,Actively applying,Sometimes,3,3,4,10
A047,22,Female,Bachelor's (in progress),1,Education,Already employed,Very often,4,4,4,15
A048,20,Male,Bachelor's (in progress),0,Finance,Actively applying,Often,4,3,2,15
A049,23,Nonbinary,Bachelor's (in progress),2,Consulting,Already employed,Rarely,2,2,4,7
A050,21,Male,Bachelor's (in progress),1,Finance,Actively applying,Rarely,1,2,3,15
A051,24,Female,Bachelor's,2,Marketing,Passively looking,Often,3,3,4,3
A052,23,Female,Bachelor's (in progress),1,Finance,Passively looking,Very often,5,5,4,18
A053,21,Female,Bachelor's (in progress),0,Education,Actively applying,Often,4,4,3,10
A054,18,Female,Bachelor's (in progress),0,Healthcare,Actively applying,Very often,4,3,2,20
A055,22,Male,Bachelor's (in progress),1,Healthcare,Actively applying,Very often,5,5,3,10
A056,19,Female,Bachelor's (in progress),0,Marketing,Actively applying,Sometimes,3,2,3,10
A057,25,Male,Master's,4,Education,Passively looking,Very often,5,4,3,18
A058,26,Male,Master's,5,Consulting,Actively applying,Rarely,1,2,2,1
A059,22,Nonbinary,Bachelor's (in progress),0,Tech,Passively looking,Often,4,3,4,10
A060,20,Male,Bachelor's (in progress),0,Finance,Actively applying,Sometimes,3,3,3,10
A061,23,Female,Bachelor's,2,Education,Actively applying,Very often,5,5,3,12
A062,22,Male,Bachelor's (in progress),0,Finance,Already employed,Very often,5,5,5,20
A063,18,Male,Bachelor's (in progress),0,Tech,Actively applying,Often,3,3,4,10
A064,22,Female,Bachelor's (in progress),1,Tech,Passively looking,Often,3,2,3,20
A065,22,Male,Bachelor's (in progress),1,Tech,Actively applying,Very often,4,4,3,20
A066,18,Female,Bachelor's (in progress),0,Consulting,Actively applying,Often,3,3,2,20
A067,20,Female,Bachelor's (in progress),0,Consulting,Already employed,Very often,5,5,4,10
A068,25,Male,Master's,4,Education,Already employed,Sometimes,3,3,4,7
A069,21,Male,Bachelor's (in progress),1,Marketing,Actively applying,Often,4,3,4,15
A070,26,Male,Bachelor's,2,Marketing,Actively applying,Often,3,2,2,10
A071,20,Male,Bachelor's (in progress),0,Finance,Actively applying,Sometimes,2,2,4,15
A072,21,Female,Bachelor's (in progress),1,Education,Actively applying,Rarely,2,1,4,5
A073,21,Female,Bachelor's (in progress),0,Education,Actively applying,Often,4,4,2,10
A074,22,Female,Bachelor's (in progress),0,Healthcare,Actively applying,Very often,5,5,2,15
A075,23,Male,Bachelor's (in progress),1,Finance,Already employed,Often,4,3,5,7
A076,19,Female,Bachelor's (in progress),0,Consulting,Actively applying,Often,4,3,4,20
A077,23,Female,Bachelor's (in progress),1,Healthcare,Already employed,Often,4,4,4,12
A078,22,Female,Bachelor's (in progress),0,Tech,Passively looking,Very often,5,4,4,5
A079,22,Female,Bachelor's (in progress),1,Consulting,Passively looking,Very often,4,3,4,5
A080,18,Male,Bachelor's (in progress),0,Healthcare,Already employed,Often,4,4,4,10
A081,20,Female,Bachelor's (in progress),0,Education,Already employed,Very often,5,4,5,20
A082,18,Male,Bachelor's (in progress),0,Healthcare,Actively applying,Often,4,3,4,20
A083,23,Male,Bachelor's,1,Healthcare,Actively applying,Very often,4,4,2,18
A084,23,Male,Bachelor's,1,Marketing,Passively looking,Sometimes,2,2,3,7
A085,21,Female,Bachelor's (in progress),0,Consulting,Already employed,Often,3,3,5,5
A086,23,Female,Bachelor's,2,Education,Actively applying,Often,3,2,4,18
A087,27,Female,Bachelor's,5,Marketing,Already employed,Very often,4,3,4,1
A088,25,Male,Bachelor's,3,Healthcare,Already employed,Sometimes,3,3,5,18
A089,22,Female,Bachelor's (in progress),0,Finance,Passively looking,Very often,4,3,4,10
A090,22,Female,Bachelor's (in progress),0,Tech,Passively looking,Very often,4,3,4,10
A091,20,Female,Bachelor's (in progress),0,Tech,Actively applying,Often,4,4,2,20
A092,23,Male,Bachelor's (in progress),1,Marketing,Actively applying,Very often,5,4,3,7
A093,19,Male,Bachelor's (in progress),0,Healthcare,Actively applying,Sometimes,3,2,3,10
A094,22,Male,Bachelor's (in progress),0,Marketing,Actively applying,Very often,4,4,3,10
A095,21,Female,Bachelor's (in progress),1,Marketing,Actively applying,Very often,4,4,2,10
A096,20,Male,Bachelor's (in progress),0,Education,Actively applying,Very often,4,3,4,20
A097,22,Female,Bachelor's (in progress),0,Education,Actively applying,Often,4,3,3,15
A098,19,Male,Bachelor's (in progress),0,Healthcare,Passively looking,Very often,5,4,4,10
A099,20,Male,Bachelor's (in progress),0,Healthcare,Actively applying,Very often,4,4,2,15
A100,23,Female,Bachelor's (in progress),1,Marketing,Already employed,Sometimes,3,2,5,3
A101,20,Male,Bachelor's (in progress),0,Healthcare,Actively applying,Very often,4,4,2,15
A102,18,Female,Bachelor's (in progress),0,Finance,Actively applying,Often,3,2,2,15
A103,21,Female,Bachelor's (in progress),0,Tech,Passively looking,Sometimes,2,2,4,20
A104,22,Female,Bachelor's (in progress),0,Consulting,Actively applying,Often,3,3,2,15
A105,22,Male,Bachelor's (in progress),0,Finance,Actively applying,Very often,4,3,3,15
A106,21,Female,Bachelor's (in progress),0,Marketing,Actively applying,Often,3,3,3,20
A107,22,Female,Bachelor's (in progress),0,Tech,Actively applying,Often,3,3,4,5
A108,23,Female,Bachelor's,1,Consulting,Already employed,Sometimes,3,3,5,12
A109,18,Male,Bachelor's (in progress),0,Tech,Actively applying,Often,3,2,2,20
A110,22,Male,Bachelor's (in progress),0,Tech,Actively applying,Often,3,2,3,20
A111,21,Male,Bachelor's (in progress),1,Finance,Actively applying,Very often,5,4,3,15
A112,23,Male,Bachelor's,1,Marketing,Actively applying,Often,3,2,4,12
A113,22,Female,Bachelor's (in progress),1,Tech,Actively applying,Sometimes,3,3,3,20
A114,19,Female,Bachelor's (in progress),0,Education,Actively applying,Very often,5,4,4,20
A115,22,Male,Bachelor's (in progress),0,Healthcare,Already employed,Sometimes,3,3,5,5
A116,22,Male,Bachelor's (in progress),1,Tech,Actively applying,Very often,5,4,4,20
A117,18,Male,Bachelor's (in progress),0,Education,Actively applying,Often,4,4,2,15
A118,20,Female,Bachelor's (in progress),0,Healthcare,Passively looking,Very often,5,5,4,20
A119,21,Nonbinary,Bachelor's (in progress),0,Education,Actively applying,Often,3,2,3,5
A120,22,Female,Bachelor's (in progress),1,Consulting,Passively looking,Very often,4,4,4,10
A121,25,Female,Master's,2,Healthcare,Passively looking,Very often,5,5,3,12
A122,22,Male,Bachelor's (in progress),1,Marketing,Actively applying,Rarely,2,1,4,10
A123,19,Female,Bachelor's (in progress),0,Marketing,Already employed,Very often,4,3,4,20
A124,20,Male,Bachelor's (in progress),0,Marketing,Passively looking,Often,4,4,4,20
A125,22,Nonbinary,Bachelor's (in progress),0,Education,Actively applying,Very often,4,3,4,10
A126,18,Female,Bachelor's (in progress),0,Finance,Actively applying,Sometimes,3,2,4,15
A127,19,Male,Bachelor's (in progress),0,Healthcare,Actively applying,Often,4,3,2,15
A128,25,Male,Master's,3,Finance,Already employed,Often,3,3,5,7
A129,22,Female,Bachelor's (in progress),0,Education,Actively applying,Sometimes,3,2,3,15
A130,20,Male,Bachelor's (in progress),0,Tech,Already employed,Very often,4,3,4,5
A131,22,Female,Bachelor's (in progress),1,Marketing,Actively applying,Very often,5,4,2,20
A132,19,Male,Bachelor's (in progress),0,Healthcare,Actively applying,Very often,5,4,2,10
A133,25,Male,Master's,2,Education,Passively looking,Sometimes,2,1,3,7
A134,24,Male,Bachelor's,2,Finance,Passively looking,Often,3,2,3,12
A135,22,Male,Bachelor's (in progress),1,Healthcare,Already employed,Sometimes,3,2,5,20
A136,22,Male,Bachelor's (in progress),1,Finance,Passively looking,Sometimes,2,2,3,10
A137,20,Female,Bachelor's (in progress),0,Tech,Passively looking,Very often,5,4,3,5
A138,23,Female,Bachelor's (in progress),1,Tech,Already employed,Sometimes,3,3,4,18
A139,19,Male,Bachelor's (in progress),0,Marketing,Passively looking,Very often,4,4,4,15
A140,19,Male,Bachelor's (in progress),0,Marketing,Actively applying,Very often,5,4,2,20
A141,20,Male,Bachelor's (in progress),0,Education,Actively applying,Very often,5,5,2,15
A142,23,Male,Bachelor's (in progress),2,Tech,Actively applying,Rarely,2,2,4,7
A143,21,Male,Bachelor's (in progress),1,Finance,Actively applying,Very often,5,4,3,15
A144,22,Female,Bachelor's (in progress),1,Finance,Actively applying,Sometimes,3,3,3,5
A145,22,Male,Bachelor's (in progress),1,Tech,Already employed,Sometimes,2,2,4,5
A146,23,Male,Bachelor's (in progress),1,Healthcare,Already employed,Very often,5,4,4,7
A147,23,Female,Bachelor's (in progress),1,Healthcare,Actively applying,Very often,4,3,3,7
A148,26,Female,Bachelor's,2,Marketing,Already employed,Often,3,2,5,1
A149,22,Male,Bachelor's (in progress),0,Finance,Actively applying,Sometimes,2,2,4,10
A150,20,Female,Bachelor's (in progress),0,Tech,Actively applying,Very often,5,4,2,5
